,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
0,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599020,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,,,CHEMBL1909046,,,,CHEMBL515914,AZARIBINE,CHEMBL515914,,False,,1539518,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
1,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599021,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,,,CHEMBL1909046,,,,CHEMBL515914,AZARIBINE,CHEMBL515914,,False,,1539518,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
2,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599166,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,,,CHEMBL1909046,,,,CHEMBL1200558,BACITRACIN,CHEMBL1200558,,False,,1539526,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
3,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599167,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CC[C@H](C)[C@H](N)C1=N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC)CS1,,,CHEMBL1909046,,,,CHEMBL1200558,BACITRACIN,CHEMBL1200558,,False,,1539526,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
4,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599303,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,,,CHEMBL1909046,,,,CHEMBL388590,BENZBROMARONE,CHEMBL388590,,False,,1539534,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
5,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599304,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,,,CHEMBL1909046,,,,CHEMBL388590,BENZBROMARONE,CHEMBL388590,,False,,1539534,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
6,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599363,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,OCc1ccccc1,,,CHEMBL1909046,,,,CHEMBL720,BENZYL ALCOHOL,CHEMBL720,,False,,1539542,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
7,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7599364,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,OCc1ccccc1,,,CHEMBL1909046,,,,CHEMBL720,BENZYL ALCOHOL,CHEMBL720,,False,,1539542,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
8,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601070,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C(O)CCNC(=O)c1ccccc1,,,CHEMBL1909046,,,,CHEMBL1231530,BETAMIPRON,CHEMBL1231530,,False,,1539551,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
9,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601071,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,O=C(O)CCNC(=O)c1ccccc1,,,CHEMBL1909046,,,,CHEMBL1231530,BETAMIPRON,CHEMBL1231530,,False,,1539551,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
10,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601157,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,Brc1c(NC2=NCCN2)ccc2nccnc12,,,CHEMBL1909046,,,,CHEMBL844,BRIMONIDINE,CHEMBL844,,False,,1539559,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
11,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601158,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,Brc1c(NC2=NCCN2)ccc2nccnc12,,,CHEMBL1909046,,,,CHEMBL844,BRIMONIDINE,CHEMBL844,,False,,1539559,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
12,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601265,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000190,BAO_0000249,cell membrane format,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,,,CHEMBL1909046,,,,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,CHEMBL1098,,False,,1539567,,15,False,,,IC50,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,IC50,,,,
13,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),7601266,[],CHEMBL1909108,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT6 radioligand binding (ligand: [3H] Lysergic acid diethylamide),B,,,BAO_0000192,BAO_0000249,cell membrane format,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,,,CHEMBL1909046,,,,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,CHEMBL1098,,False,,1539567,,15,False,,,Ki,,,,CHEMBL3371,Homo sapiens,Serotonin 6 (5-HT6) receptor,9606,,,Ki,,,,
