PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Agonist Activity,Agonist Potency (uM),Agonist Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
RESULT_TYPE,,,,,,,STRING,STRING,STRING,STRING,STRING,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,Type of compound activity based on both the CAR agonist mode readout and the cell viability counter screen.,,,,Type of compound activity in the cell viability counter screen.,The concentration of sample yielding half-maximal inhibition of cell viability.,Percent inhibition of cell viability.,Where sample was obtained.
RESULT_UNIT,,,,,,,,,,,,MICROMOLAR,PERCENT,
1,170465258,9818306,Active,88,,,active agonist,active agonist,0.000794208,70.19027457,inactive,,0,GVK
2,144210731,5991,Active,80,,,active agonist,active agonist,0.000916402,59.26708786,inactive,,0,SIGMA
3,144209255,5757,Active,75,,,active agonist,active agonist,0.001198004,52.35855049,inconclusive antagonist,,-18.9016,TCI
4,170465211,13765,Active,80,,,active agonist,active agonist,0.001234937,60.48475832,inactive,,0,Sequoia
5,144213948,68570,Active,74,,,active agonist,active agonist,0.001363942,52.16149353,inactive,,0,LightBiologicals
6,144210608,5757,Active,80,,,active agonist,active agonist,0.001383053,61.21706112,inactive,,0,SIGMA
7,170464789,9403,Active,78,,,active agonist,active agonist,0.001919948,60.07430053,inactive,,0,SIGMA
8,170466031,192197,Active,79,,,active agonist,active agonist,0.002033815,61.60645652,inactive,,0,Microsource
9,144212135,9403,Active,100,,,active agonist,active agonist,0.002837429,97.38073867,inconclusive antagonist,,-18.5488,SIGMA
10,144210844,448537,Active,92,,,active agonist,active agonist,0.003857078,87.17326111,inconclusive antagonist,64.7528,-21.2976,LightBiologicals
11,144209605,448537,Active,88,,,active agonist,active agonist,0.004816296,82.11958698,inconclusive antagonist,60.6336,-24.7655,SigmaAldrich
12,144213953,5870,Active,89,,,active agonist,active agonist,0.005051225,85.34356064,inactive,,0,SIGMA
13,170464803,3054,Active,85,,,active agonist,active agonist,0.005108194,77.71923444,inactive,,0,Microsource
14,144211773,192197,Active,86,,,active agonist,active agonist,0.005143496,79.26666812,inactive,,0,LightBiologicals
15,144213030,657220,Active,89,,,active agonist,active agonist,0.005448267,85.16927474,inactive,,0,SIGMA
16,144208573,5870,Active,86,,,active agonist,active agonist,0.005888887,80.74989664,inactive,,0,SIGMA
17,170465020,5870,Active,92,,,active agonist,active agonist,0.006430836,91.20140119,inactive,,0,Vitas
18,170465807,5756,Active,83,,,active agonist,active agonist,0.006943857,77.24167979,inactive,,0,SIGMA
19,144212958,223368,Active,100,,,active agonist,active agonist,0.007127301,106.8656912,inconclusive antagonist,,,SIGMA
20,170466708,5805243,Active,83,,,active agonist,active agonist,0.012348117,82.37869064,inactive,,0,GVK
21,144211921,5756,Active,85,,,active agonist,active agonist,0.013170181,85.22387368,inactive,,0,SIGMA
22,170465362,667476,Active,83,,,active agonist,active agonist,0.014396848,83.87809949,inactive,,0,Microsource
23,144208401,2999413,Active,78,,,active agonist,active agonist,0.027500517,79.6005449,inconclusive antagonist,61.566,-45.3046,Toronto Research
24,170465998,17273,Active,83,,,active agonist,active agonist,0.027643991,90.06968829,inactive,,0,GVK
25,170465876,102232,Active,80,,,active agonist,active agonist,0.029849295,83.60958741,inactive,,0,GVK
26,144208460,68570,Active,76,,,active agonist,active agonist,0.03116829,75.64788102,inactive,,0,SigmaAldrich
27,144209024,8785,Active,70,,,active agonist,active agonist,0.032948943,64.32357526,inactive,,0,SIGMA
28,144208351,5281576,Active,72,,,active agonist,active agonist,0.037867967,70.21089969,active antagonist,51.2789,-56.7998,SIGMA
29,144213818,5281576,Active,71,,,active agonist,active agonist,0.044730856,69.73581605,inactive,,0,SIGMA
30,170464933,9270,Active,74,,,active agonist,active agonist,0.04552683,75.64174144,inconclusive antagonist,,-16.1724,"Prestwick Chemical, Inc."
31,170465357,6291,Active,73,,,active agonist,active agonist,0.04552683,74.47170437,inactive,,0,"Prestwick Chemical, Inc."
32,170465874,444008,Active,78,,,active agonist,active agonist,0.057314883,87.33097855,inactive,,0,Sequoia
33,170466403,259331,Active,74,,,active agonist,active agonist,0.12831204,87.8639872,inconclusive agonist,,,Sequoia
34,144212154,6291,Active,70,,,active agonist,active agonist,0.13170181,76.94355858,inactive,,0,SIGMA
35,170465909,16141,Active,72,,,active agonist,active agonist,0.219584025,89.62953658,inactive,,0,GVK
36,144212286,5284486,Active,62,,,active agonist,active agonist,0.432771257,71.17567256,inactive,,0,Sequoia
37,170465984,5284486,Active,62,,,active agonist,active agonist,0.551570134,74.56710021,inactive,,0,"Prestwick Chemical, Inc."
38,144208490,8413,Active,60,,,active agonist,active agonist,0.67614254,71.41953018,inactive,,0,SIGMA
39,144207737,25015,Active,67,,,active agonist,active agonist,0.68101647,93.49175159,inactive,,0,SIGMA
40,144212744,6230,Active,62,,,active agonist,active agonist,0.815189184,78.09712793,inactive,,0,SIGMA
41,144209253,6978,Active,66,,,active agonist,active agonist,0.852965393,95.48878256,inactive,,0,SIGMA
42,170466364,27812,Active,62,,,active agonist,active agonist,0.908379676,80.01424666,inactive,,0,Bosche
43,144213952,5281708,Active,70,,,active agonist,active agonist,1.071540053,114.6092363,inactive,,0,LightBiologicals
44,144209257,1046,Active,62,,,active agonist,active agonist,1.135110814,85.68290554,inactive,,0,SIGMA
45,170465251,25249,Active,63,,,active agonist,active agonist,1.143582258,91.31051293,inactive,,0,Prestwick
46,170465905,101905,Active,63,,,active agonist,active agonist,1.283120398,92.14644375,inactive,,0,GVK
47,144208410,9904,Active,64,,,active agonist,active agonist,1.356026804,96.06031883,inactive,,0,Toronto Research
48,144209270,24860538,Active,61,,,active agonist,active agonist,1.365759871,84.44652372,inactive,,0,SIGMA
49,144209326,81259,Active,63,,,active agonist,active agonist,1.424976293,93.34750228,inconclusive antagonist,86.5249,-29.0254,Sensient
50,170464683,6230,Active,58,,,active agonist,active agonist,1.496008548,75.59858237,inactive,,0,"Prestwick Chemical, Inc."
51,170465193,229455,Active,61,,,active agonist,active agonist,1.55453585,87.31244814,inactive,,0,Selleck
52,170465918,111318,Active,60,,,active agonist,active agonist,1.55453585,84.93596717,inactive,,0,GVK
53,170466095,251636,Active,56,,,active agonist,active agonist,1.615352875,69.59256695,inactive,,0,GVK
54,170464733,6540478,Active,57,,,active agonist,active agonist,1.883363177,76.46932182,inactive,,0,Prestwick
55,170465049,54685925,Active,59,,,active agonist,active agonist,1.957044685,84.47734686,inactive,,0,Microsource
56,144213913,81259,Active,60,,,active agonist,active agonist,2.008746231,89.2021194,inactive,,0,LightBiologicals
57,170465054,9046,Active,57,,,active agonist,active agonist,2.195840253,79.89329398,inactive,,0,SIGMA
58,170465970,2898,Active,57,,,active agonist,active agonist,2.281746584,80.36162331,inactive,,0,Tocris
59,144210902,5280961,Active,79,,,active agonist,active agonist,2.342026161,179.3834974,inactive,,0,LightBiologicals
60,170466131,3033968,Active,56,,,active agonist,active agonist,2.371013763,76.68759424,inactive,,0,Bosche
61,170466069,6300,Active,54,,,active agonist,active agonist,2.371013763,64.55687464,inactive,,0,Labotest
62,144213957,10635,Active,59,,,active agonist,active agonist,2.582176635,89.87379835,inactive,,0,Toronto Research
63,144209218,4650,Active,58,,,active agonist,active agonist,3.079371032,89.23726323,inactive,,0,SIGMA
64,144207756,84677,Active,57,,,active agonist,active agonist,3.17717411,88.62659769,inconclusive antagonist,,-18.1922,SigmaAldrich
65,170466438,72016,Active,57,,,active agonist,active agonist,3.223052717,86.30360258,inactive,,0,Microsource
66,170466848,5280961,Active,71,,,active agonist,active agonist,3.34914596,159.6943045,inactive,,0,Vitas
67,144208626,5280961,Active,72,,,active agonist,active agonist,3.378280124,163.4435494,inactive,,0,SigmaAldrich
68,170465614,5881,Active,56,,,active agonist,active agonist,3.616324628,85.68353838,inactive,,0,Labotest
69,144213956,25015,Active,55,,,active agonist,active agonist,3.951028533,81.1392067,inactive,,0,Toronto Research
70,144210070,13109,Active,57,,,active agonist,active agonist,4.173249067,93.4557359,inactive,,0,SIGMA
71,144208185,10635,Active,54,,,active agonist,active agonist,4.274953656,78.96234236,inactive,,0,SIGMA
72,144213078,5881,Active,55,,,active agonist,active agonist,4.327712571,84.20249329,inactive,,0,SIGMA
73,144208665,73864,Active,53,,,active agonist,active agonist,4.649205822,75.02739617,inactive,,0,SIGMA
74,170466348,9904,Active,53,,,active agonist,active agonist,4.73079441,76.08924237,inactive,,0,Prestwick
75,144209236,174,Active,53,,,active agonist,active agonist,5.006848667,74.88362084,inactive,,0,NTP-MRI Repository
76,144208161,14709,Active,53,,,active agonist,active agonist,5.243143474,78.7331666,inactive,,0,SigmaAldrich
77,144209194,5881,Active,53,,,active agonist,active agonist,5.66717396,79.06361986,inactive,,0,SigmaAldrich
78,144210948,11723708,Active,51,,,active agonist,active agonist,5.882903737,67.93514386,inconclusive antagonist,61.1306,-58.3622,CalBioChem
79,144210973,76302,Active,51,,,active agonist,active agonist,6.113056489,72.0730681,inconclusive antagonist,81.5189,-25.5337,SIGMA
80,144213946,73864,Active,51,,,active agonist,active agonist,6.113056489,73.84201327,inactive,,0,LightBiologicals
81,144212165,5280378,Active,46,,,active agonist,active agonist,6.600726558,39.85530869,inactive,,0,LightBiologicals
82,170465394,11289,Active,43,,,active agonist,active agonist,7.078383278,25.61784188,inactive,,0,Prestwick
83,144209508,73852,Active,53,,,active agonist,active agonist,7.199842896,88.94406725,inconclusive antagonist,58.2984,-24.0573,Sensient
84,144210518,66166,Active,51,,,active agonist,active agonist,7.40613701,75.18226543,inactive,,0,LightBiologicals
85,170464835,5995,Active,50,,,active agonist,active agonist,7.497803856,73.35634956,inactive,,0,Vitas
86,170465033,13109,Active,47,,,active agonist,active agonist,7.497803856,51.07823685,inactive,,0,"Prestwick Chemical, Inc."
87,144207230,5281707,Active,59,,,active agonist,active agonist,7.664699558,126.4553685,inactive,,0,SIGMA
88,144213214,11289,Active,43,,,active agonist,active agonist,7.695882158,22.82527752,inactive,,0,SIGMA
89,144213944,8571,Active,53,,,active agonist,active agonist,7.844978217,90.44834824,inactive,,0,SIGMA
90,144212587,5995,Active,49,,,active agonist,active agonist,7.844978217,66.45812477,inactive,,0,LightBiologicals
91,144207752,6620,Active,46,,,active agonist,active agonist,7.914240161,44.67085678,inconclusive antagonist,58.2205,-47.3061,SigmaAldrich
92,144208642,5281708,Active,59,,,active agonist,active agonist,7.915706828,131.7219258,inactive,,0,SigmaAldrich
93,144207269,5281034,Active,51,,,active agonist,active agonist,8.070211042,80.18048967,inactive,,0,SIGMA
94,170466182,5284557,Active,47,,,active agonist,active agonist,8.095942388,49.15357025,inactive,,0,Vitas
95,144213928,16051930,Active,45,,,active agonist,active agonist,8.3098224,36.80284134,inactive,,0,LightBiologicals
96,144212641,5284557,Active,45,,,active agonist,active agonist,8.634921803,41.8545384,inactive,,0,SIGMA
97,144210620,7340,Active,42,,,active agonist,active agonist,8.634921803,21.13265054,active antagonist,26.278,-57.7908,SIGMA
98,144209486,8571,Active,52,,,active agonist,active agonist,8.643703816,86.70312975,inactive,,0,SigmaAldrich
99,144208934,76302,Active,47,,,active agonist,active agonist,8.936252941,56.18938764,inactive,,0,SigmaAldrich
100,144208171,17570,Active,50,,,active agonist,active agonist,10.16709855,76.41885952,inactive,,0,SigmaAldrich
101,144210271,,Active,47,,,active agonist,active agonist,10.59092945,56.93936491,inactive,,0,NTP-MRI Repository
102,144214019,6010,Active,42,,,active agonist,active agonist,10.59357145,24.19910952,inactive,,0,LightBiologicals
103,144209420,66166,Active,48,,,active agonist,active agonist,10.85966844,67.19313029,inactive,,0,Sensient
104,144213960,13109,Active,48,,,active agonist,active agonist,10.87072249,63.53158193,inactive,,0,SIGMA
105,144211337,66030,Active,44,,,active agonist,active agonist,10.87072249,37.28371563,active antagonist,66.0073,-65.6614,LightBiologicals
106,170464631,6010,Active,42,,,active agonist,active agonist,11.21848147,20.42716638,inactive,,0,Sequoia
107,144213218,5280373,Active,51,,,active agonist,active agonist,11.29601018,94.21551525,active antagonist,68.5896,-20.6514,SIGMA
108,144208492,2723650,Active,48,,,active agonist,active agonist,11.31607085,70.79210972,inactive,,0,SIGMA
109,144213676,171144,Active,44,,,active agonist,active agonist,11.51485329,38.5592486,active antagonist,68.5896,-59.6245,LightBiologicals
110,170465157,8814,Active,43,,,active agonist,active agonist,11.88321829,28.02049675,inactive,,0,SIGMA
111,144209660,6917,Active,48,,,active agonist,active agonist,12.04845642,70.22316882,inactive,,0,SigmaAldrich
112,144208474,8606,Active,48,,,active agonist,active agonist,12.14755254,68.51596995,inactive,,0,SIGMA
113,144210296,,Active,47,,,active agonist,active agonist,12.83120398,61.05979269,inactive,,0,NTP-MRI Repository
114,144208495,11742,Active,43,,,active agonist,active agonist,13.06310648,28.87990955,inactive,,0,SIGMA
115,144207746,586708,Active,47,,,active agonist,active agonist,13.4908173,65.42065118,active antagonist,55.8091,-24.6446,Interchem
116,144213678,5280863,Active,45,,,active agonist,active agonist,13.55852078,52.68387746,inconclusive antagonist,41.2616,-25.5636,SIGMA
117,144209883,11074101,Active,44,,,active agonist,active agonist,13.61587137,37.10601089,active antagonist,65.6718,-22.8875,Io-li-tec
118,144213797,73852,Active,50,,,active agonist,active agonist,13.68542878,94.96207521,inactive,,0,SIGMA
119,251919827,608116,Active,45,,,active agonist,active agonist,13.68542878,50.01580772,inconclusive antagonist,,,MRIGlobal
120,144208689,62783,Active,50,,,active agonist,active agonist,13.71326827,87.46007725,inactive,,0,SigmaAldrich
121,144210275,,Active,44,,,active agonist,active agonist,13.85481535,44.09040374,inactive,,0,NTP-MRI Repository
122,144208528,8489,Active,47,,,active agonist,active agonist,14.24608916,70.11471859,inactive,,0,SIGMA
123,170465403,5281034,Active,48,,,active agonist,active agonist,14.39684765,80.57807634,inactive,,0,Sequoia
124,144209310,7276,Active,49,,,active agonist,active agonist,14.58483858,81.59589143,inactive,,0,SIGMA
125,144214049,6623,Active,46,,,active agonist,active agonist,14.59826409,58.59067241,inactive,,0,SIGMA
126,144210190,6623,Active,46,,,active agonist,active agonist,14.61203645,62.5354295,inactive,,0,SIGMA
127,144210376,11742,Active,43,,,active agonist,active agonist,14.77718607,32.59690531,inactive,,0,Enamine
128,144210285,,Active,46,,,active agonist,active agonist,14.96008548,59.89395312,inactive,,0,NTP-MRI Repository
129,144210297,,Active,46,,,active agonist,active agonist,14.96008548,61.81532084,inactive,,0,NTP-MRI Repository
130,144213972,8814,Active,43,,,active agonist,active agonist,15.09751494,32.93114093,inconclusive antagonist,61.572,-27.1187,SIGMA
131,144208215,232446,Active,49,,,active agonist,active agonist,15.70739817,86.79161216,active antagonist,,-17.2873,SigmaAldrich
132,144209559,11289,Active,43,,,active agonist,active agonist,15.87494053,32.03461547,inactive,,0,SIGMA
133,144210879,5281,Active,49,,,active agonist,active agonist,15.95603848,91.06664325,inactive,,0,SIGMA
134,144212742,6025,Active,46,,,active agonist,active agonist,15.95603848,59.32274916,inactive,,0,SIGMA
135,144207753,608116,Active,45,,,active agonist,active agonist,16.14842475,57.28291798,inactive,,0,SigmaAldrich
136,144210273,,Active,44,,,active agonist,active agonist,16.15352875,48.21030512,inactive,,0,NTP-MRI Repository
137,144210292,,Active,44,,,active agonist,active agonist,16.15352875,45.64918546,inactive,,0,NTP-MRI Repository
138,144209574,12472902,Active,44,,,active agonist,active agonist,16.23208649,44.86682341,inconclusive antagonist,54.3719,-48.1705,Sensient
139,144208599,17857,Active,47,,,active agonist,active agonist,16.51358955,75.41987734,inactive,,0,SigmaAldrich
140,144213201,5280443,Active,51,,,active agonist,active agonist,16.58027548,115.1275807,active antagonist,56.6142,-54.8288,LightBiologicals
141,144209295,5280373,Active,53,,,active agonist,active agonist,16.71525714,127.4381964,inconclusive antagonist,65.2799,-26.0142,SIGMA
142,144210293,,Active,44,,,active agonist,active agonist,16.78549199,47.21787457,inactive,,0,NTP-MRI Repository
143,144209168,86607,Active,49,,,active agonist,active agonist,17.33411314,94.01325696,inactive,,0,Sensient
144,144207748,69150,Active,47,,,active agonist,active agonist,18.60337506,81.39635868,inactive,,0,SigmaAldrich
145,144210274,,Active,44,,,active agonist,active agonist,18.83363177,50.36118971,inactive,,0,NTP-MRI Repository
146,144210294,,Active,43,,,active agonist,active agonist,18.83363177,41.47598937,inactive,,0,NTP-MRI Repository
147,144210295,,Active,42,,,active agonist,active agonist,18.83363177,33.48124874,inactive,,0,NTP-MRI Repository
148,144209522,62530,Active,42,,,active agonist,active agonist,19.42951769,30,inconclusive antagonist,61.4415,-43.7111,Pfaltz-Bauer
149,144213110,107377,Active,44,,,active agonist,active agonist,20.87333013,52.88654448,active antagonist,56.6142,-23.5833,Sigma DiscoveryCPR
150,144210893,338733,Active,43,,,active agonist,active agonist,20.87333013,36.19620277,inactive,,0,LightBiologicals
151,144208172,123504,Active,43,,,active agonist,active agonist,20.91469853,40.10852526,active antagonist,67.4194,-27.6707,SigmaAldrich
152,144207667,7112,Active,42,,,active agonist,active agonist,21.0007575,29.95839811,inconclusive antagonist,,-17.6803,SigmaAldrich
153,144206942,92877,Active,42,,,active agonist,active agonist,21.13168241,35.1945191,inactive,,0,SIGMA
154,144210301,,Active,42,,,active agonist,active agonist,21.13168241,25.97950884,inactive,,0,NTP-MRI Repository
155,144209661,6535,Active,44,,,active agonist,active agonist,21.31550656,52.91905164,inactive,,0,SIGMA
156,144210052,4788,Active,46,,,active agonist,active agonist,21.34119308,77.21622861,inconclusive antagonist,70.127,-22.2035,SIGMA
157,144208363,5280863,Active,44,,,active agonist,active agonist,21.60174256,58.05550688,active antagonist,52.2182,-28.6048,SIGMA
